emp_2017,LOCATION,CSA,emp_2018,emp_2019,emp_2020,emp_2021
13914,"Las Vegas-Henderson, NV-AZ CSA",332,15736,15983,15147,14301
6423,"Lexington-Fayette--Richmond--Frankfort, KY CSA",336,7111,6913,6674,5364
1124,"Lima-Van Wert-Celina, OH CSA",338,992,927,985,882
11926,"Little Rock-North Little Rock, AR CSA",340,12252,11709,11213,11261
1109,"Longview-Marshall, TX CSA",346,1116,1076,1157,1042
264868,"Los Angeles-Long Beach, CA CSA",348,271970,257197,262967,258633
14006,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN CSA",350,13735,12842,11521,10913
2916,"Lubbock-Levelland, TX CSA",352,3342,3216,2848,2777
1923,"Macon-Bibb County--Warner Robins, GA CSA",356,2021,2291,1771,1315
20675,"Madison-Janesville-Beloit, WI CSA",357,21205,21608,21151,20257
1110,"Manhattan-Junction City, KS CSA",358,1249,1555,1159,1020
1479,"Mankato-New Ulm-North Mankato, MN CSA",359,1491,1315,1317,1229
903,"Mansfield-Ashland-Bucyrus, OH CSA",360,963,849,900,710
302,"Martin-Union City, TN-KY CSA",362,283,315,246,203
3506,"McAllen-Edinburg, TX CSA",365,4053,4081,4189,3771
1542,"Medford-Grants Pass, OR CSA",366,1498,1432,1578,1362
7081,"Memphis-Forrest City, TN-MS-AR CSA",368,6504,6593,6102,5107
59888,"Miami-Fort Lauderdale-Port St. Lucie, FL CSA",370,62376,66171,65526,58027
1684,"Midland-Odessa, TX CSA",372,1686,1902,1637,1273
19547,"Milwaukee-Racine-Waukesha, WI CSA",376,19984,18150,17495,15641
49913,"Minneapolis-St. Paul, MN-WI CSA",378,51376,49278,48295,47189
3840,"Mobile-Daphne-Fairhope, AL CSA",380,3986,3591,3571,3047
1896,"Modesto-Merced, CA CSA",382,2115,2289,1897,1382
3338,"Monroe-Ruston-Bastrop, LA CSA",384,3112,2770,2606,2197
876,"Morgantown-Fairmont, WV CSA",390,767,744,730,617
335,"Moses Lake-Othello, WA CSA",393,396,425,418,408
362,"Mount Pleasant-Alma, MI CSA",394,364,322,314,240
3450,"Myrtle Beach-Conway, SC-NC CSA",396,3354,2829,2485,2213
22768,"Nashville-Davidson--Murfreesboro, TN CSA",400,23762,22763,23232,20941
642,"New Bern-Morehead City, NC CSA",404,569,563,576,386
6665,"New Orleans-Metairie-Hammond, LA-MS CSA",406,6219,6370,5447,5063
352375,"New York-Newark, NY-NJ-CT-PA CSA",408,362118,368169,371374,355009
4648,"North Port-Sarasota, FL CSA",412,4934,4780,4640,4210
10581,"Oklahoma City-Shawnee, OK CSA",416,10623,9831,9976,8628
12567,"Omaha-Council Bluffs-Fremont, NE-IA CSA",420,12679,13103,12543,11678
33627,"Orlando-Deltona-Daytona Beach, FL CSA",422,35924,35925,36114,31662
313,"Oskaloosa-Pella, IA CSA",423,352,339,333,278
938,"Paducah-Mayfield, KY-IL CSA",424,985,1179,1269,1078
799,"Parkersburg-Marietta-Vienna, WV-OH CSA",425,597,535,491,453
2144,"Pensacola-Ferry Pass, FL-AL CSA",426,2014,2093,1943,1863
2360,"Peoria-Canton, IL CSA",427,2591,2573,2457,2066
70799,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",428,72160,72604,71215,69750
25183,"Pittsburgh-New Castle-Weirton, PA-OH-WV CSA",430,25321,24447,23888,22105
5930,"Portland-Lewiston-South Portland, ME CSA",438,5860,5658,5291,4907
33610,"Portland-Vancouver-Salem, OR-WA CSA",440,33541,31733,31275,29768
1105,"Pueblo-Cañon City, CO CSA",444,1099,1166,1251,1081
337,"Pullman-Moscow, WA-ID CSA",446,324,350,332,247
1228,"Quincy-Hannibal, IL-MO CSA",448,979,925,882,674
33724,"Raleigh-Durham-Chapel Hill, NC CSA",450,35380,36006,37280,34751
1397,"Rapid City-Spearfish, SD CSA",452,1335,1232,1092,1055
848,"Redding-Red Bluff, CA CSA",454,848,835,900,756
4354,"Reno-Carson City-Fernley, NV CSA",456,4511,4559,4450,3890
293,"Richmond-Connersville, IN CSA",458,282,272,263,207
2551,"Rochester-Austin, MN CSA",462,2056,1977,1799,1695
12941,"Rochester-Batavia-Seneca Falls, NY CSA",464,12404,12023,11302,9763
2181,"Rockford-Freeport-Rochelle, IL CSA",466,2205,2151,1841,1300
1160,"Rocky Mount-Wilson-Roanoke Rapids, NC CSA",468,1014,906,861,662
347,"Rome-Summerville, GA CSA",470,349,303,306,219
19765,"Sacramento-Roseville, CA CSA",472,19550,19608,18156,15769
2154,"Saginaw-Midland-Bay City, MI CSA",474,2153,1780,1691,1298
28600,"St. Louis-St. Charles-Farmington, MO-IL CSA",476,30678,28701,27130,25775
48361,"Salt Lake City-Provo-Orem, UT CSA",482,49317,50383,52386,51978
299027,"San Jose-San Francisco-Oakland, CA CSA",488,319473,343522,369540,380546
2683,"Savannah-Hinesville-Statesboro, GA CSA",496,2080,2671,1990,1723
124410,"Seattle-Tacoma, WA CSA",500,130752,135764,143618,144067
894,"Sioux City-Vermillion, IA-SD-NE CSA",512,897,864,838,732
4269,"South Bend-Elkhart-Mishawaka, IN-MI CSA",515,4482,4306,4192,3866
6149,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA",518,6117,6692,6606,6217
5364,"Springfield-Branson, MO CSA",520,5545,5993,5880,4755
3783,"Springfield-Greenfield Town, MA CSA",521,3535,3169,3014,2480
2263,"Springfield-Jacksonville-Lincoln, IL CSA",522,2265,2221,2135,1804
1315,"State College-DuBois, PA CSA",524,1186,1187,1245,1117
119,"Steamboat Springs-Craig, CO CSA",525,113,118,132,113
4418,"Syracuse-Auburn, NY CSA",532,5702,5378,5721,4526
3694,"Tallahassee-Bainbridge, FL-GA CSA",533,3624,3505,3410,2764
3615,"Toledo-Port Clinton, OH CSA",534,3575,3590,3461,3259
8206,"Tucson-Nogales, AZ CSA",536,9026,7599,7143,5719
13170,"Tulsa-Muskogee-Bartlesville, OK CSA",538,12310,11755,10668,9658
2138,"Tyler-Jacksonville, TX CSA",540,2538,2361,2069,1532
436,"Victoria-Port Lavaca, TX CSA",544,480,510,381,417
12577,"Virginia Beach-Norfolk, VA-NC CSA",545,12381,12223,11090,9854
1379,"Visalia-Porterville-Hanford, CA CSA",546,1524,1590,1402,1223
134570,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",548,138144,137149,140143,131945
2406,"Wausau-Stevens Point-Wisconsin Rapids, WI CSA",554,1841,1943,1571,1428
5500,"Wichita-Arkansas City-Winfield, KS CSA",556,5532,5317,4595,4589
698,"Williamsport-Lock Haven, PA CSA",558,693,675,630,486
3005,"Youngstown-Warren, OH-PA CSA",566,2984,3121,2895,2496
5001,"Lincoln-Beatrice, NE CSA",339,5015,4691,5013,4619
